material_id,material_name,category,size,unit,cost_per_unit,current_stock,minimum_stock,supplier,notes,date_added
1,250 ml aluminium box,Boxes,Small,pieces,1.6,200,20,PackCorp,For small items,2025-01-15
2,500 ml alumunium box,Boxes,Medium,pieces,4.0,75,15,PackCorp,For medium items,2025-01-15
3,750 ml alumunium box,Boxes,Large,pieces,6.5,50,10,PackCorp,For large items,2025-01-15
4,1000 ml aluminium boax,Boxes,XL,pieces,9.0,25,5,PackCorp,For bulk items,2025-01-15
5,Small Plastic Cover,Plastic Covers,Small,pieces,0.5,500,100,PlasticPro,Transparent covers,2025-01-15
6,Medium Plastic Cover,Plastic Covers,Medium,pieces,0.75,400,80,PlasticPro,Transparent covers,2025-01-15
7,Large Plastic Cover,Plastic Covers,Large,pieces,1.25,300,60,PlasticPro,Transparent covers,2025-01-15
8,Small Plastic Bag,Plastic Bags,Small,pieces,0.25,1000,200,PlasticPro,Food grade bags,2025-01-15
9,Medium Plastic Bag,Plastic Bags,Medium,pieces,0.4,800,150,PlasticPro,Food grade bags,2025-01-15
10,Large Plastic Bag,Plastic Bags,Large,pieces,0.6,600,120,PlasticPro,Food grade bags,2025-01-15
11,250ml Bottle,Bottles,250ml,pieces,3.0,200,40,BottleCorp,Glass bottles,2025-01-15
12,500ml Bottle,Bottles,500ml,pieces,4.5,150,30,BottleCorp,Glass bottles,2025-01-15
13,1L Bottle,Bottles,1L,pieces,6.0,100,20,BottleCorp,Glass bottles,2025-01-15
20,Extra Large plastic cover,Plastic Covers,XL,pieces,1.5,300,50,PaperPro,Non eco Friendly,2025-01-15
21,Spoon,Cutler,small,pieces,1.0,150,10,MojoAgency,local dealer,2025-06-09
22,Paper Cup,Cutler,small,pieces,0.0,50,10,AAyra agency,locak shop,2025-06-09
23,tiny pouch,Plastic Covers,smallest,packs,0.0,50,10,Ajitha Company,local shop,2025-06-09
24,Pickle,Cutler,small,pieces,1.0,200,8,ajithbakri,local stores,2025-06-09
25,Silver Paper Large,Paper Sheet,large,pieces,1.4,151,10,instaco,local delaer,2025-06-09
26,silver paper medium,Paper Sheet,medium,pieces,1.8,150,10,instaco,local dealer,2025-06-09
27,tea cup,Cutler,small,pieces,0.6,200,10,rajesh,friend,2025-06-10
28,tea cup medium,Cutler,medium,pieces,0.8,100,10,rajesh,friend,2025-06-10
